KEGG ID,InChIKey,InChIKey14
C05298,SWINWPBPEKHUOD-JPVZDGGYSA-N,SWINWPBPEKHUOD
C05123,SUMDYPCJJOFFON-UHFFFAOYSA-N,SUMDYPCJJOFFON
C06451,SEHJHHHUIGULEI-UHFFFAOYSA-N,SEHJHHHUIGULEI
C05600,ZBCBETMBSDTINL-WFTYEQLWSA-N,ZBCBETMBSDTINL
C06452,ZFVCONUOLQASEW-UHFFFAOYSA-N,ZFVCONUOLQASEW
C02503,,
C10360,WQTDARJAYXTHNU-UHFFFAOYSA-N,WQTDARJAYXTHNU
C02504,BITYXLXUCSKTJS-ZETCQYMHSA-L,BITYXLXUCSKTJS
C09124,UPIJHQOLJKUYGG-RAUXBKROSA-N,UPIJHQOLJKUYGG
C02222,SOXXPQLIZIPMIZ-UPHRSURJSA-N,SOXXPQLIZIPMIZ
C08359,HKVMUVAMCRTTDB-SSTWWWIQSA-N,HKVMUVAMCRTTDB
C05299,WHEUWNKSCXYKBU-QPWUGHHJSA-N,WHEUWNKSCXYKBU
C08358,SCVLBAOQZXPGMZ-XXZHDZSNSA-N,SCVLBAOQZXPGMZ
C03218,UZWXAPMSNDKDNK-KQYNXXCUSA-N,UZWXAPMSNDKDNK
C06331,FSCXZVPPDJYLDD-UHFFFAOYSA-N,FSCXZVPPDJYLDD
C10910,UTBVIMLZIRIFFR-UHFFFAOYSA-N,UTBVIMLZIRIFFR
C11076,OGNMSZFPUKYWMR-UHFFFAOYSA-N,OGNMSZFPUKYWMR
C11082,TXCPNHXTBUNQDW-UHFFFAOYSA-N,TXCPNHXTBUNQDW
C10923,XFOHWECQTFIEIX-UHFFFAOYSA-N,XFOHWECQTFIEIX
C10083,PUECEVJMPDNNHT-UHFFFAOYSA-N,PUECEVJMPDNNHT
C08250,HIWPGCMGAMJNRG-RTPHMHGBSA-N,HIWPGCMGAMJNRG
C05811,YNPGYMZVNLIZLD-BQFKTQOQSA-N,YNPGYMZVNLIZLD
C05812,MARGKPIMNMASKJ-CMAXTTDKSA-N,MARGKPIMNMASKJ
C06695,IZXIZTKNFFYFOF-UHFFFAOYSA-N,IZXIZTKNFFYFOF
C05941,ICMJZHFYQVZYQN-GSVOUGTGSA-N,ICMJZHFYQVZYQN
C07479,OQBDUIUEEGGDSS-IHWYPQMZSA-N,OQBDUIUEEGGDSS
C03063,HYVSZVZMTYIHKF-IWQZZHSRSA-N,HYVSZVZMTYIHKF
C11567,SGJOGZCAZRQAMZ-UHFFFAOYSA-N,SGJOGZCAZRQAMZ
C05807,GLOBOHBQKQLVIS-UHFFFAOYSA-N,GLOBOHBQKQLVIS
C11327,ABQCCSJVPWLMPL-UHFFFAOYSA-N,ABQCCSJVPWLMPL
C11480,FDZCRHSDRBSPBW-HJIKTHEYSA-N,FDZCRHSDRBSPBW
C11571,,
C05501,ISBSSBGEYIBVTO-TYKWNDPBSA-N,ISBSSBGEYIBVTO
C05500,MCKLJFJEQRYRQT-APGJSSKUSA-N,MCKLJFJEQRYRQT
C05477,ZDUVZJUTJOBJHS-XYEQKYNMSA-N,ZDUVZJUTJOBJHS
C08830,BDHQMRXFDYJGII-UEBIAWITSA-N,BDHQMRXFDYJGII
C11050,IGZXDKCXHICLQE-LSYAKQBXSA-N,IGZXDKCXHICLQE
C11051,WPKOZIBAIWHRJZ-SMYQFUGUSA-N,WPKOZIBAIWHRJZ
C11641,FFRFGVHNKJYNOV-DOVUUNBWSA-N,FFRFGVHNKJYNOV
C10444,YQXUGVCMIWBNGS-VQHVLOKHSA-N,YQXUGVCMIWBNGS
C03463,,
C11057,UQMGJOKDKOLIDP-UHFFFAOYSA-N,UQMGJOKDKOLIDP
C10836,LXEQIOGTMDLLEC-UHFFFAOYSA-N,LXEQIOGTMDLLEC
C03830,OHHKDUWFPNAEHQ-UHFFFAOYSA-N,OHHKDUWFPNAEHQ
C04322,DWAKNKKXGALPNW-UHFFFAOYSA-N,DWAKNKKXGALPNW
C11448,,
C11468,INZXOXPPCUXFBP-UHFFFAOYSA-N,INZXOXPPCUXFBP
C11463,,
C05576,MTVWFVDWRVYDOR-UHFFFAOYSA-N,MTVWFVDWRVYDOR
C06224,FBTSUTGMWBDAAC-UHFFFAOYSA-N,FBTSUTGMWBDAAC
C07577,SHXWCVYOXRDMCX-UHFFFAOYSA-N,SHXWCVYOXRDMCX
C10220,IECIGJUPCKCYMX-ZVLUUUFJSA-N,IECIGJUPCKCYMX
C03925,PHWAJJWKNLWZGJ-UHFFFAOYSA-N,PHWAJJWKNLWZGJ
